iter	Passed	Remaining
0	4	400
1	7	371
2	11	355
3	13	324
4	17	336
5	21	331
6	25	333
7	29	334
8	32	328
9	36	324
10	39	319
11	43	320
12	47	316
13	58	358
14	62	355
15	66	351
16	70	345
17	74	341
18	78	333
19	81	327
20	84	319
21	88	312
22	91	304
23	94	298
24	98	294
25	101	287
26	104	281
27	107	275
28	110	270
29	113	264
30	116	259
31	119	254
32	122	249
33	126	244
34	129	240
35	132	236
36	135	231
37	139	227
38	142	222
39	145	217
40	148	213
41	149	206
42	153	203
43	157	200
44	161	197
45	165	193
46	168	190
47	172	186
48	175	182
49	179	179
50	182	175
51	186	172
52	190	168
53	193	165
54	196	160
55	199	156
56	203	153
57	206	149
58	212	147
59	216	144
60	220	140
61	224	137
62	227	133
63	231	130
64	235	126
65	239	123
66	243	119
67	246	116
68	250	112
69	253	108
70	257	105
71	261	101
72	265	98
73	268	94
74	272	90
75	276	87
76	279	83
77	283	79
78	287	76
79	291	72
80	295	69
81	299	65
82	303	62
83	307	58
84	311	54
85	315	51
86	319	47
87	323	44
88	327	40
89	330	36
90	334	33
91	338	29
92	342	25
93	347	22
94	350	18
95	354	14
96	359	11
97	363	7
98	367	3
99	371	0
