iter	Passed	Remaining
0	766	765648
1	769	384142
2	773	256921
3	777	193524
4	780	155369
5	784	130005
6	788	111892
7	792	98299
8	794	87491
9	796	78836
10	798	71818
11	800	65897
12	801	60879
13	803	56580
14	804	52858
15	806	49612
16	808	46735
17	809	44174
18	811	41885
19	812	39824
20	814	37969
21	816	36283
22	817	34737
23	819	33335
24	821	32033
25	822	30818
26	823	29691
27	825	28642
28	826	27675
29	827	26763
30	828	25905
31	829	25099
32	830	24342
33	831	23630
34	832	22958
35	833	22325
36	834	21725
37	835	21157
38	836	20617
39	837	20110
40	838	19622
41	839	19157
42	840	18715
43	842	18299
44	843	17901
45	844	17515
46	845	17147
47	846	16793
48	847	16453
49	848	16126
50	849	15811
51	850	15509
52	851	15217
53	852	14937
54	853	14667
55	854	14406
56	855	14155
57	856	13912
58	857	13677
59	858	13450
60	859	13231
61	860	13018
62	861	12813
63	862	12614
64	863	12420
65	864	12237
66	866	12064
67	867	11888
68	868	11719
69	869	11552
70	870	11390
71	871	11233
72	872	11081
73	873	10935
74	875	10791
75	876	10650
76	877	10514
77	878	10380
78	879	10249
79	880	10122
80	881	9997
81	882	9875
82	882	9751
83	883	9637
84	884	9524
85	885	9413
86	886	9305
87	888	9203
88	889	9103
89	890	9004
90	891	8907
91	892	8811
92	893	8717
93	894	8626
94	896	8536
95	897	8448
96	898	8361
97	899	8275
98	900	8191
99	903	8127
100	904	8047
101	905	7968
102	906	7890
103	907	7815
104	908	7740
105	909	7667
106	910	7596
107	911	7530
108	913	7464
109	914	7398
110	915	7332
111	916	7268
112	918	7213
113	920	7151
114	921	7088
115	922	7027
116	923	6966
117	924	6908
118	925	6851
119	926	6794
120	927	6737
121	928	6679
122	929	6625
123	930	6571
124	931	6518
125	932	6466
126	933	6414
127	935	6373
128	938	6335
129	939	6286
130	940	6238
131	941	6190
132	942	6142
133	943	6096
134	944	6051
135	946	6011
136	947	5968
137	948	5924
138	949	5881
139	950	5839
140	951	5796
141	952	5753
142	953	5712
143	954	5672
144	955	5634
145	958	5605
146	961	5581
147	963	5543
148	964	5507
149	965	5472
150	966	5435
151	967	5399
152	968	5363
153	970	5328
154	970	5293
155	972	5258
156	973	5224
157	974	5190
158	975	5157
159	976	5124
160	976	5089
161	977	5058
162	978	5026
163	981	5001
164	982	4972
165	983	4943
166	985	4913
167	986	4885
168	987	4855
169	988	4826
170	989	4796
171	990	4768
172	991	4740
173	992	4712
174	993	4684
175	994	4657
176	995	4629
177	996	4602
178	997	4575
179	998	4549
180	999	4523
181	1000	4497
182	1001	4473
183	1003	4451
184	1005	4428
185	1006	4404
186	1007	4380
187	1008	4357
188	1010	4334
189	1011	4310
190	1012	4286
191	1013	4264
192	1014	4241
193	1015	4218
194	1016	4195
195	1017	4173
196	1018	4150
197	1019	4128
198	1020	4106
199	1021	4084
200	1022	4064
201	1023	4042
202	1024	4023
203	1026	4006
204	1027	3986
205	1029	3966
206	1030	3947
207	1031	3926
208	1032	3906
209	1033	3887
210	1034	3867
211	1035	3847
212	1036	3829
213	1037	3810
214	1038	3791
215	1039	3772
216	1040	3754
217	1041	3736
218	1042	3717
219	1043	3699
220	1044	3681
221	1045	3663
222	1046	3645
223	1047	3629
224	1049	3614
225	1050	3598
226	1051	3582
227	1053	3566
228	1054	3549
229	1055	3532
230	1056	3516
231	1057	3499
232	1058	3483
233	1059	3467
234	1060	3451
235	1061	3435
236	1062	3420
237	1063	3404
238	1064	3389
